Jae,Crowder,7.8
Al,Cueto,0
Jarrett,Culver,-0.8
Pat,Cummings,-1.9
Terry,Cummings,22.5
Vonteego,Cummings,-0.3
Billy,Cunningham,5.1
Dante,Cunningham,1.1
Dick,Cunningham,0.0
Jared,Cunningham,-0.6
William,Cunningham,-0.4
Radisav,Ćurčić,0.0
Armand,Cure,0
Earl,Cureton,-2.1
Bill,Curley,-1.3
Fran,Curran,0
Dell,Curry,17.1
Eddy,Curry,-1.3
JamesOn,Curry,0.0
Michael,Curry,-4.7
Seth,Curry,3.5
Stephen,Curry,50.7
Rastko,Cvetković,-0.1
Mike,D'Antoni,0.5
Mike,Dabich,0
Ed,Dahler,0
Quintin,Dailey,0.3
Samuel,Dalembert,4.6
Howie,Dallmar,0
Erick,Dampier,4.1
Louie,Dampier,9.0
Bob,Dandridge,15.1
Antonio,Daniels,10.1
Erik,Daniels,-0.1
Lloyd,Daniels,0.4
Marquis,Daniels,3.0
Mel,Daniels,0.5
Troy,Daniels,-0.3
Sasha,Danilović,0.8
Adrian,Dantley,43.7
Pete,Darcey,0
Jimmy,Darden,0
Ollie,Darden,0
Yinka,Dare,-1.6
Jesse,Dark,-0.2
Rick,Darnell,-0.2
Jimmy,Darrow,0
Luigi,Datome,-0.1
Brad,Daugherty,21.3
Mack,Daughtry,0
Kornél,Dávid,-0.4
Jermareo,Davidson,-0.3
Bob,Davies,0
Brandon,Davies,-0.9
Anthony,Davis,37.7
Antonio,Davis,4.4
Aubrey,Davis,0
Baron,Davis,33.1
Ben,Davis,-0.1
Bill,Davis,0
Bob,Davis,0
Brad,Davis,12.1
Brian,Davis,-0.3
Charles,Davis,-1.4
Charlie,Davis,-0.1
Dale,Davis,18.4
Deyonta,Davis,0.0
Dwight,Davis,0.4
Ed,Davis,6.2
Emanual,Davis,-0.4
Glen,Davis,-1.7
Harry,Davis,-0.3
Hubert,Davis,4.2
Jim,Davis,1.1
Johnny,Davis,6.4
Josh,Davis,0.0
Lee,Davis,0.9
Mark,Davis,0.1
Mark,Davis,-0.4
Mel,Davis,-1.3
Mickey,Davis,1.3
Mike,Davis,0
Mike,Davis,0.0
Monti,Davis,0.0
Paul,Davis,-0.4
Ralph,Davis,0
Red,Davis,0
Ricky,Davis,6.3
Ron,Davis,-0.5
Terence,Davis,0.9
Terry,Davis,-4.9
Tyler,Davis,0.0
Walt,Davis,0
Walter,Davis,25.3
Warren,Davis,0
Willie,Davis,0
Andre,Dawkins,-0.1
Darryl,Dawkins,7.8
Johnny,Dawkins,4.2
Paul,Dawkins,-0.4
Branden,Dawson,0.0
Eric,Dawson,0.0
Jimmy,Dawson,0
Tony,Dawson,0.0
Todd,Day,3.4
Austin,Daye,0.0
Darren,Daye,2.2
Nando,De Colo,0.5
Billy,DeAngelis,0
Dave,DeBusschere,2.5
Andrew,DeClercq,-2.4
Nate,DeLong,0
Joe,DePre,0
DeMar,DeRozan,16.5
Hank,DeZonie,0
Greg,Deane,-0.1
Dewayne,Dedmon,1.6
Don,Dee,0
Archie,Dees,0
Terry,Dehere,-1.1
Red,Dehnert,0
Bryce,Dejean-Jones,0.0
Sam,Dekker,0.5
Vinny,Del Negro,6.1
Malcolm,Delaney,-1.3
Bison,Dele,3.4
Carlos,Delfino,7.2
Ángel,Delgado,0.0
Tony,Delk,4.8
Matthew,Dellavedova,-2.5
Fennis,Dembo,-0.2
Larry,Demic,-2.9
Dell,Demps,0.0
George,Dempsey,0
Luol,Deng,22.9
Kenny,Dennard,0.2
Blaine,Denning,0
Justin,Dentmon,-0.1
Randy,Denton,2.4
Rod,Derline,-0.3
Marcus,Derrickson,0.0
Dave,Deutsch,0
Corky,Devlin,0
Ernie,DiGregorio,-3.6
Donte,DiVincenzo,1.4
Derrick,Dial,0.0
Cheick,Diallo,0.3
Hamidou,Diallo,-0.8
Boris,Diaw,15.5
Yakhouba,Diawara,-1.4
Guillermo,Díaz,0.0
Dan,Dickau,0.6
Kaniel,Dickens,0.0
Henry,Dickerson,-0.2
Michael,Dickerson,1.3
Clyde,Dickey,-0.6
Derrek,Dickey,0.9
Dick,Dickey,0
John,Dickson,0
Travis,Diener,1.1
Gorgui,Dieng,6.2
Connie,Dierking,0
Coby,Dietrick,9.2
Craig,Dill,0
Dwaine,Dillard,0.0
Mickey,Dillard,-0.3
